id,count
0,89.63
1,222.51
2,73.69
4,33.01
5,78.01
10,125.44
11,163.42
12,322.33
15,36.95
17,129.51
18,300.96
23,248.14
25,95.62
26,39.56
31,202.22
39,156.5
40,27.15
41,195.2
42,392.06
43,151.63
51,232.05
52,71.77
54,18.18
60,131.47
61,135.2
62,118.82
63,28.3
65,114.77
66,115.8
68,149.13
71,79.22
80,32.34
82,69.43
94,129.94
98,279.55
101,34.81
102,129.45
107,97.88
112,247.84
113,65.93
115,53.28
116,123.18
120,161.46
121,77.07
122,333.09
132,215.35
143,88.61
147,66.49
150,19.48
151,89.27
152,220.91
153,89.11
155,168.71
156,79.05
159,181.71
161,134.55
163,45.68
177,162.54
186,14.67
188,18.93
190,85.84
191,82.96
192,264.21
195,311.28
200,152.89
209,318.2
210,17.63
211,227.68
214,150.67
215,26.84
218,96.14
219,30.27
222,123.6
225,16.62
228,316.92
236,232.09
241,38.17
242,160.52
243,235.28
245,20.36
247,243.13
251,129.55
252,81.61
253,81.0
254,90.46
258,317.74
260,48.57
261,174.29
265,110.38
266,272.59
267,311.87
269,154.1
270,66.23
275,98.68
278,38.71
279,79.09
286,91.97
287,29.6
288,206.39
289,160.36
293,17.64
294,139.38
297,31.81
302,122.08
303,57.7
304,74.17
307,103.41
309,17.82
311,185.23
312,129.4
314,187.29
315,236.85
319,163.17
322,121.25
323,64.12
325,124.54
327,236.16
330,34.66
332,189.45
333,17.33
338,105.56
341,112.26
345,197.73
348,138.72
349,45.85
350,115.23
352,46.69
355,14.91
356,236.53
358,55.38
363,133.75
369,182.49
371,20.04
372,135.7
375,302.14
380,123.07
388,43.12
391,124.28
392,261.14
393,382.39
394,205.0
396,27.67
401,38.44
407,105.92
409,84.62
410,116.01
416,110.83
418,123.03
420,152.63
421,244.11
422,129.18
424,300.1
428,352.4
429,227.77
431,165.2
435,12.93
439,105.7
441,13.58
447,89.94
449,150.9
451,132.06
452,17.06
454,210.59
458,215.85
463,127.52
467,15.86
470,254.94
471,161.51
474,297.91
478,17.2
483,121.06
484,132.97
485,84.78
486,129.81
491,97.18
494,103.82
495,236.72
497,209.61
499,163.1
515,112.65
518,226.76
521,182.54
525,141.64
529,235.01
532,128.49
534,106.85
540,112.28
544,296.65
547,156.78
549,43.4
563,33.37
564,142.8
567,120.44
572,114.75
577,131.73
578,263.77
585,367.17
588,143.68
589,128.63
590,106.91
592,18.78
594,246.77
596,15.63
598,352.87
599,143.35
605,39.29
606,132.87
607,257.89
608,236.38
609,62.87
610,295.72
611,197.69
614,125.23
615,224.92
616,244.9
617,124.37
618,264.78
624,117.28
629,131.87
631,89.44
633,83.09
637,24.48
638,104.34
643,69.07
644,143.45
645,35.47
646,223.16
648,206.39
650,40.97
651,207.81
652,266.41
656,122.38
657,18.67
659,70.92
660,221.26
662,103.96
665,384.64
675,332.97
681,158.28
682,219.26
685,18.75
686,220.46
689,26.07
696,145.84
703,147.57
704,98.71
705,145.96
714,241.55
717,103.77
718,15.84
720,90.35
721,251.14
723,243.5
726,203.31
728,147.69
730,202.84
731,28.09
734,342.56
737,76.85
738,16.5
