id,count
0,98.448
1,215.188
2,77.213
4,30.748
5,71.245
10,125.249
11,199.127
12,316.379
15,34.007
17,125.693
18,299.606
23,243.98
25,99.113
26,39.733
31,203.366
39,166.265
40,27.119
41,180.342
42,374.372
43,156.793
51,224.765
52,83.61
54,16.68
60,140.406
61,140.953
62,116.5
63,28.072
65,118.527
66,109.928
68,154.708
71,72.225
80,30.503
82,69.937
94,131.741
98,272.875
101,33.24
102,132.934
107,109.306
112,230.434
113,73.68
115,51.896
116,122.882
120,159.955
121,83.455
122,335.687
132,193.713
143,85.714
147,61.318
150,18.836
151,88.062
152,225.148
153,91.46
155,168.818
156,81.278
159,191.701
161,136.573
163,45.52
177,173.883
186,14.579
188,19.296
190,92.879
191,79.819
192,266.981
195,313.793
200,143.368
209,315.062
210,15.625
211,227.583
214,123.347
215,26.379
218,100.524
219,33.442
222,129.383
225,15.458
228,321.103
236,223.016
241,36.609
242,177.631
243,231.57
245,18.884
247,247.707
251,133.992
252,84.819
253,83.222
254,90.205
258,321.298
260,47.571
261,173.813
265,113.17
266,274.642
267,299.857
269,156.421
270,67.836
275,99.718
278,35.76
279,78.622
286,97.19
287,29.011
288,212.696
289,143.816
293,18.089
294,154.43
297,32.744
302,120.46
303,62.555
304,72.817
307,99.371
309,17.146
311,172.23
312,124.889
314,174.039
315,233.385
319,167.196
322,119.901
323,65.922
325,126.156
327,236.795
330,35.571
332,194.201
333,17.039
338,101.833
341,110.969
345,189.256
348,128.311
349,45.344
350,118.972
352,47.653
355,15.599
356,222.887
358,55.214
363,131.916
369,164.676
371,19.038
372,138.574
375,303.326
380,130.017
388,44.49
391,129.107
392,255.883
393,373.893
394,203.05
396,27.923
401,37.555
407,108.411
409,89.635
410,114.542
416,101.514
418,123.727
420,148.603
421,226.912
422,133.129
424,291.468
428,340.56
429,217.434
431,160.506
435,11.579
439,116.391
441,12.786
447,91.098
449,144.624
451,139.587
452,16.25
454,209.816
458,216.219
463,126.113
467,14.726
470,238.253
471,156.696
474,289.028
478,16.652
483,121.881
484,131.929
485,85.09
486,128.425
491,99.09
494,100.79
495,234.805
497,207.655
499,163.282
